date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:33:07	208/208	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Sep%202018%2005:03:09%20GMT	http://demo.rtcvid.net/robots.txt		(from )
10:33:08	21702/21702	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Sep%202018%2005:03:09%20GMT	http://demo.rtcvid.net/securityfirst/new/	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/new/index.html	(from )
10:33:09	12320/12320	---M-Z	200	added ('OK')	text/css	etag:%223020-51a3498a31740-gzip%22	http://demo.rtcvid.net/securityfirst/css/blueprint-custom/screen.css?cb=1.1.20180424.2	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/blueprint-custom/screenb858.css	(from http://demo.rtcvid.net/securityfirst/new/)
10:33:09	1286/1286	---M-Z	200	added ('OK')	text/css	etag:%22506-51a3498a31740-gzip%22	http://demo.rtcvid.net/securityfirst/css/blueprint-custom/print.css?cb=1.1.20180424.2	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/blueprint-custom/printb858.css	(from http://demo.rtcvid.net/securityfirst/new/)
10:33:10	82461/82461	---M-Z	200	added ('OK')	text/css	etag:%221421d-51f646d730b40-gzip%22	http://demo.rtcvid.net/securityfirst/css/rtc.mobile-policyholder.css?cb=1.1.20180424.2	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/rtc.mobile-policyholderb858.css	(from http://demo.rtcvid.net/securityfirst/new/)
10:33:11	21846/21846	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Sep%202018%2005:03:11%20GMT	http://demo.rtcvid.net/securityfirst/new/?ls=facebook&campaign=SM.Share	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/new/index73f0.html	(from http://demo.rtcvid.net/securityfirst/new/)
10:33:11	0/0	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Sep%202018%2005:03:12%20GMT	http://demo.rtcvid.net/securityfirst/new/templates/html/video-meta.html	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/new/templates/html/video-meta.html	(from http://demo.rtcvid.net/securityfirst/new/)
10:33:12	21722/21722	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Sep%202018%2005:03:13%20GMT	http://demo.rtcvid.net/securityfirst/new/?language=en	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/new/index07a0.html	(from http://demo.rtcvid.net/securityfirst/new/)
10:33:13	22061/22061	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Sep%202018%2005:03:14%20GMT	http://demo.rtcvid.net/securityfirst/new/?language=es	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/new/index9d3b.html	(from http://demo.rtcvid.net/securityfirst/new/)
10:33:13	0/0	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Sep%202018%2005:03:15%20GMT	http://demo.rtcvid.net/securityfirst/new/templates/failover.html	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/new/templates/failover.html	(from http://demo.rtcvid.net/securityfirst/new/)
10:33:14	0/0	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Sep%202018%2005:03:15%20GMT	http://demo.rtcvid.net/securityfirst/new/templates/playback-failed.html	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/new/templates/playback-failed.html	(from http://demo.rtcvid.net/securityfirst/new/)
10:33:14	0/0	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Sep%202018%2005:03:15%20GMT	http://demo.rtcvid.net/securityfirst/new/templates/technical-error.html	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/new/templates/technical-error.html	(from http://demo.rtcvid.net/securityfirst/new/)
10:33:14	24300/24300	---M--	200	added ('OK')	image/gif	etag:%225eec-51a3498a31740%22	http://demo.rtcvid.net/securityfirst/css/images/buffering(2).gif	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/images/buffering(2).gif	(from http://demo.rtcvid.net/securityfirst/new/)
10:33:14	0/0	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Sep%202018%2005:03:16%20GMT	http://demo.rtcvid.net/securityfirst/new/templates/corporate-firewall.html	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/new/templates/corporate-firewall.html	(from http://demo.rtcvid.net/securityfirst/new/)
10:33:15	0/0	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Sep%202018%2005:03:16%20GMT	http://demo.rtcvid.net/securityfirst/new/help.html	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/new/help.html	(from http://demo.rtcvid.net/securityfirst/new/)
10:33:15	2643/2643	---M--	200	added ('OK')	image/png	etag:%22a53-51a3498a31740%22	http://demo.rtcvid.net/securityfirst/css/images/get-adobe-flash-player.png	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/images/get-adobe-flash-player.png	(from http://demo.rtcvid.net/securityfirst/new/)
10:33:15	43/43	---M--	200	added ('OK')	image/gif	date:Wed,%2026%20Sep%202018%2005:03:17%20GMT	http://demo.rtcvid.net/securityfirst/css/images/noJavascript.gif?c=SECURITYFIRST&u=fvmux4hbef13nc&rn=1537938189000&s=START	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/images/noJavascriptc5d1.gif	(from http://demo.rtcvid.net/securityfirst/new/)
10:33:16	21704/21704	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Sep%202018%2005:03:17%20GMT	http://demo.rtcvid.net/securityfirst/new/GET	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/new/GET.html	(from http://demo.rtcvid.net/securityfirst/new/)
10:33:17	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2026%20Sep%202018%2005:03:18%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/www.googletagmanager.com/gtm.105445.delayed	(from http://demo.rtcvid.net/securityfirst/new/)
10:33:17	1514/1514	---M-Z	200	added ('OK')	text/javascript	etag:%225ea-51b7850500440-gzip%22	http://demo.rtcvid.net/securityfirst/js/en/rtc.strings.js?cb=1.1.20180424.2	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/js/en/rtc.stringsb858.js	(from http://demo.rtcvid.net/securityfirst/new/)
10:33:20	95113/95113	---M--	200	added ('OK')	image/jpeg	etag:%2217389-51b7850500440%22	http://demo.rtcvid.net/securityfirst/css/images/social-icon-690x400.jpg	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/images/social-icon-690x400.jpg	(from http://demo.rtcvid.net/securityfirst/new/)
10:33:20	105/105	---M--	200	added ('OK')	image/png	etag:%2269-51a3498a31740%22	http://demo.rtcvid.net/securityfirst/css/blueprint-custom/src/grid.png	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/blueprint-custom/src/grid.png	(from http://demo.rtcvid.net/securityfirst/css/blueprint-custom/screen.css?cb=1.1.20180424.2)
10:33:21	31820/31820	---M--	200	added ('OK')	image/gif	etag:%227c4c-51a3498a31740%22	http://demo.rtcvid.net/securityfirst/css/images/buffering.gif	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/images/buffering.gif	(from http://demo.rtcvid.net/securityfirst/new/)
10:33:21	219/219	---M--	200	added ('OK')	image/png	etag:%22db-51a3498a31740%22	http://demo.rtcvid.net/securityfirst/css/images/bg.png	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/images/bg.png	(from http://demo.rtcvid.net/securityfirst/css/rtc.mobile-policyholder.css?cb=1.1.20180424.2)
10:33:23	13260/13260	---M--	200	added ('OK')	image/png	etag:%2233cc-51b7850500440%22	http://demo.rtcvid.net/securityfirst/css/images/logo.png	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/images/logo.png	(from http://demo.rtcvid.net/securityfirst/css/rtc.mobile-policyholder.css?cb=1.1.20180424.2)
10:33:24	252/252	---M--	200	added ('OK')	image/png	etag:%22fc-51b7850500440%22	http://demo.rtcvid.net/securityfirst/css/themes/securityfirst/images/ui-bg_diagonals-thick_15_adadad_40x40.png	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/themes/securityfirst/images/ui-bg_diagonals-thick_15_adadad_40x40.png	(from http://demo.rtcvid.net/securityfirst/css/rtc.mobile-policyholder.css?cb=1.1.20180424.2)
10:33:24	175/175	---M--	200	added ('OK')	image/png	etag:%22af-51b7850500440%22	http://demo.rtcvid.net/securityfirst/css/themes/securityfirst/images/ui-bg_highlight-hard_50_2c8cd9_1x100.png	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/themes/securityfirst/images/ui-bg_highlight-hard_50_2c8cd9_1x100.png	(from http://demo.rtcvid.net/securityfirst/css/rtc.mobile-policyholder.css?cb=1.1.20180424.2)
10:33:25	167/167	---M--	200	added ('OK')	image/png	etag:%22a7-51b7850500440%22	http://demo.rtcvid.net/securityfirst/css/themes/securityfirst/images/ui-bg_highlight-hard_40_056ead_1x100.png	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/themes/securityfirst/images/ui-bg_highlight-hard_40_056ead_1x100.png	(from http://demo.rtcvid.net/securityfirst/css/rtc.mobile-policyholder.css?cb=1.1.20180424.2)
10:33:25	356633/356633	---M-Z	200	added ('OK')	application/javascript	etag:%225ba11623-57119%22	http://s7.addthis.com/js/250/addthis_widget.js	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/s7.addthis.com/js/250/addthis_widget.js	(from http://demo.rtcvid.net/securityfirst/new/)
10:33:25	180/180	---M--	200	added ('OK')	image/png	etag:%22b4-51b7850500440%22	http://demo.rtcvid.net/securityfirst/css/themes/securityfirst/images/ui-bg_flat_40_292929_40x100.png	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/themes/securityfirst/images/ui-bg_flat_40_292929_40x100.png	(from http://demo.rtcvid.net/securityfirst/css/rtc.mobile-policyholder.css?cb=1.1.20180424.2)
10:33:26	159/159	---M--	200	added ('OK')	image/png	etag:%229f-51b7850500440%22	http://demo.rtcvid.net/securityfirst/css/themes/securityfirst/images/ui-bg_highlight-hard_30_a4860a_1x100.png	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/themes/securityfirst/images/ui-bg_highlight-hard_30_a4860a_1x100.png	(from http://demo.rtcvid.net/securityfirst/css/rtc.mobile-policyholder.css?cb=1.1.20180424.2)
10:33:26	116/116	---M--	200	added ('OK')	image/png	etag:%2274-51b7850500440%22	http://demo.rtcvid.net/securityfirst/css/themes/securityfirst/images/ui-bg_highlight-hard_50_ffcf06_1x100.png	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/themes/securityfirst/images/ui-bg_highlight-hard_50_ffcf06_1x100.png	(from http://demo.rtcvid.net/securityfirst/css/rtc.mobile-policyholder.css?cb=1.1.20180424.2)
10:33:26	37260/37260	---M--	200	added ('OK')	image/jpeg	etag:%22918c-51f52e6e37940%22	http://demo.rtcvid.net/securityfirst/css/images/pb_demo_header.jpg	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/images/pb_demo_header.jpg	(from http://demo.rtcvid.net/securityfirst/css/rtc.mobile-policyholder.css?cb=1.1.20180424.2)
10:33:27	5355/5355	---M--	200	added ('OK')	image/png	etag:%2214eb-51b7850500440%22	http://demo.rtcvid.net/securityfirst/css/themes/securityfirst/images/ui-icons_d9d9d9_256x240.png	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/themes/securityfirst/images/ui-icons_d9d9d9_256x240.png	(from http://demo.rtcvid.net/securityfirst/css/rtc.mobile-policyholder.css?cb=1.1.20180424.2)
10:33:27	4369/4369	---M--	200	added ('OK')	image/png	etag:%221111-51b7850500440%22	http://demo.rtcvid.net/securityfirst/css/themes/securityfirst/images/ui-icons_f6f6f6_256x240.png	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/themes/securityfirst/images/ui-icons_f6f6f6_256x240.png	(from http://demo.rtcvid.net/securityfirst/css/rtc.mobile-policyholder.css?cb=1.1.20180424.2)
10:33:27	180/180	---M--	200	added ('OK')	image/png	etag:%22b4-51b7850500440%22	http://demo.rtcvid.net/securityfirst/css/themes/securityfirst/images/ui-bg_flat_0_aaaaaa_40x100.png	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/themes/securityfirst/images/ui-bg_flat_0_aaaaaa_40x100.png	(from http://demo.rtcvid.net/securityfirst/css/rtc.mobile-policyholder.css?cb=1.1.20180424.2)
10:33:27	4369/4369	---M--	200	added ('OK')	image/png	etag:%221111-51b7850500440%22	http://demo.rtcvid.net/securityfirst/css/themes/securityfirst/images/ui-icons_ffffff_256x240.png	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/themes/securityfirst/images/ui-icons_ffffff_256x240.png	(from http://demo.rtcvid.net/securityfirst/css/rtc.mobile-policyholder.css?cb=1.1.20180424.2)
10:33:28	2672/2672	---M--	200	added ('OK')	image/png	etag:%22a70-51a3498a31740%22	http://demo.rtcvid.net/securityfirst/css/images/checkbox-radio-btn.png	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/images/checkbox-radio-btn.png	(from http://demo.rtcvid.net/securityfirst/css/rtc.mobile-policyholder.css?cb=1.1.20180424.2)
10:33:32	22964/22964	---M--	200	added ('OK')	application/x-font-woff	etag:%2259b4-51a3498a31740%22	http://demo.rtcvid.net/securityfirst/css/fonts/din-light-webfont.woff	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/fonts/din-light-webfont.woff	(from http://demo.rtcvid.net/securityfirst/css/rtc.mobile-policyholder.css?cb=1.1.20180424.2)
10:33:33	42288/42288	---M--	200	added ('OK')	text/html	etag:%22a530-51a3498a31740%22	http://demo.rtcvid.net/securityfirst/css/fonts/din-light-webfont.ttf	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/fonts/din-light-webfont.html	(from http://demo.rtcvid.net/securityfirst/css/rtc.mobile-policyholder.css?cb=1.1.20180424.2)
